ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
69,1847-946,Guiyang,,"become sick",1847,1847,sen⁵⁵pin²¹³əw²¹³,946,s e n ⁵⁵ p i n ²¹³ ə w ²¹³,
70,1847-948,Guiyang,,"become sick",1847,1847,pu²¹su⁵⁵fu²¹,948,p u ²¹ s u ⁵⁵ f u ²¹,
71,1847-957,Xiamen,,"become sick",1847,1847,pʰwa²¹pĩ²²,957,pʰ w a ²¹ p ĩ ∼ ²²,
72,1847-958,Xiamen,,"become sick",1847,1847,kan⁵⁵kʰɔ⁵³,958,k a n ⁵⁵ kʰ ɔ ⁵³,
73,1847-953,Hefei,,"become sick",1847,1847,pəʔ⁵xɔ²⁴kʊ⁵³,953,p ə ʔ ⁵ x ɔ ²⁴ k ʊ ⁵³,
74,1847-954,Hefei,,"become sick",1847,1847,pəʔ⁵t͡ʂʰən²¹tʰæ̃,954,p ə ʔ ⁵ ʈʂʰ ə n ²¹ tʰ æ̃ ∼,
75,1847-959,Jinan,,"become sick",1847,1847,t͡ʂaŋ⁵⁵piŋ²¹,959,ʈʂ a ŋ ⁵⁵ p i ŋ ²¹,
76,1847-941,Jinan,,"become sick",1847,1847,piŋ⁴²lja,941,p i ŋ ⁴² l j a,
77,1847-955,Jinan,,"become sick",1847,1847,pu²¹³ytʰjə,955,p u ²¹³ y ⁰ tʰ j ə,
78,1847-950,Jinan,,"become sick",1847,1847,pu²¹³ʂu²¹³tʰã,950,p u ²¹³ ʂ u ²¹³ tʰ ã ∼,
79,1847-951,Jinan,,"become sick",1847,1847,pu²¹³xɔ,951,p u ²¹³ x ɔ,
80,1847-947,Hangzhou,,"become sick",1847,1847,sen³³bin¹³tə,947,s e n ³³ b i n ¹³ t ə,
81,1847-942,Guangzhou,,"become sick",1847,1847,pɛŋ²²ʦɔ³⁵,942,p ɛ ŋ ²² ts ɔ ³⁵,
82,1847-960,Guangzhou,,"become sick",1847,1847,m̩²¹ʦi²²jin²¹,960,m̩ ²¹ ts i ²² j i n ²¹,
83,1847-940,Nanchang,,"become sick",1847,1847,pʰjɑŋ²¹ljɛwiɛu⁰²,940,pʰ j ɑ ŋ ²¹ l j ɛ w ⁰²,
84,1847-940,Chengdu,,"become sick",1847,1847,pin¹³no⁵³,940,p i n ¹³ n o ⁵³,
85,1847-949,Chengdu,,"become sick",1847,1847,pu³¹su⁵⁵fu³¹no⁵³,949,p u ³¹ s u ⁵⁵ f u ³¹ n o ⁵³,
86,1847-956,Chengdu,,"become sick",1847,1847,pu³¹ŋan⁵⁵i¹³no⁵³,956,p u ³¹ ŋ a n ⁵⁵ i ¹³ n o ⁵³,
87,1847-943,Taoyuan,,"become sick",1847,1847,pi⁴⁵lje⁵³,943,p i ⁴⁵ l j e ⁵³,
88,1847-962,Shexian,,"become sick",1847,1847,xɛ²²pʰjʌ̃,962,x ɛ ²² pʰ j ʌ̃ ∼,
89,1847-953,Shexian,,"become sick",1847,1847,pu²¹xɔ³⁵ko,953,p u ²¹ x ɔ ³⁵ k o,
90,1847-940,Beijing,,"become sick",1847,1847,piŋ⁵¹lə¹,940,p i ŋ ⁵¹ l ə ¹,
91,1847-940,Kunming,,"become sick",1847,1847,pĩ²¹²lə⁵³,940,p ĩ ∼ ²¹² l ə ⁵³,
92,1847-952,Kunming,,"become sick",1847,1847,pu³¹xɔ⁵³lə⁵³,952,p u ³¹ x ɔ ⁵³ l ə ⁵³,
93,1847-945,Shanghai,,"become sick",1847,1847,sã⁵³biŋ¹³,945,s ã ∼ ⁵³ b i ŋ ¹³,
94,1949-420,Meixian,,"bedbug",1949,1949,kon⁴⁴pʰi⁴⁴,420,k o n ⁴⁴ pʰ i ⁴⁴,
95,1949-421,Changsha,,"bedbug",1949,1949,t͡ʂʰəw⁵⁵t͡ʂoŋ¹³,421,ʈʂʰ ə w ⁵⁵ ʈʂ o ŋ ¹³,
96,1949-422,Changsha,,"bedbug",1949,1949,ɕjan³³ku³³ȵjan¹³,422,ɕ j a n ³³ k u ³³ nʲ j a n ¹³,
97,1949-421,Guiyang,,"bedbug",1949,1949,ʦʰəw²¹³ʦʰoŋ²¹,421,tsʰ ə w ²¹³ tsʰ o ŋ ²¹,
98,1949-423,Xiamen,,"bedbug",1949,1949,bat⁵sat³²,423,b a t ⁵ s a t ³²,
99,1949-421,Hefei,,"bedbug",1949,1949,t͡ʂʰɯ⁵³t͡ʂʰəŋ,421,ʈʂʰ ɯ ⁵³ ʈʂʰ ə ŋ,
100,1949-421,Jinan,,"bedbug",1949,1949,t͡ʂʰow²¹t͡ʂʰuŋ⁴²,421,ʈʂʰ o w ²¹ ʈʂʰ u ŋ ⁴²,
101,1949-421,Hangzhou,,"bedbug",1949,1949,ʦʰej⁴⁴⁵ʣoŋ²¹³,421,tsʰ e j ⁴⁴⁵ dz o ŋ ²¹³,
102,1949-423,Guangzhou,,"bedbug",1949,1949,mok²sɐt⁵,423,m o k ² s ɐ t ⁵,
103,1949-421,Nanchang,,"bedbug",1949,1949,ʦʰɨw²¹³ʦʰuŋ⁰⁴,421,tsʰ ɨ w ²¹³ tsʰ u ŋ ⁰⁴,
104,1949-421,Chengdu,,"bedbug",1949,1949,ʦʰəw¹³ʦʰoŋ³¹,421,tsʰ ə w ¹³ tsʰ o ŋ ³¹,
105,1949-424,Taoyuan,,"bedbug",1949,1949,pjəʔ²səʔ²,424,p j ə ʔ ² s ə ʔ ²,
106,1949-423,Shexian,,"bedbug",1949,1949,mɔ²²seʔ²¹,423,m ɔ ²² s e ʔ ²¹,
107,1949-424,Shexian,,"bedbug",1949,1949,pi²¹seʔ²¹,424,p i ²¹ s e ʔ ²¹,
108,1949-421,Beijing,,"bedbug",1949,1949,t͡ʂʰow⁵¹t͡ʂʰuŋ¹,421,ʈʂʰ o w ⁵¹ ʈʂʰ u ŋ ¹,
109,1949-424,Kunming,,"bedbug",1949,1949,pi³¹sə³¹,424,p i ³¹ s ə ³¹,
110,1949-421,Shanghai,,"bedbug",1949,1949,ʦʰɤ³⁵zoŋ²³,421,tsʰ ɤ ³⁵ z o ŋ ²³,
111,1949-425,Shanghai,,"bedbug",1949,1949,pjɪʔ⁵səʔ⁵,425,p j ɪ ʔ ⁵ s ə ʔ ⁵,
112,1934-910,Meixian,,"beggar",1934,1934,kaw⁵³fa⁵³ve,910,k a w ⁵³ f a ⁵³ v e,
113,1934-911,Changsha,,"beggar",1934,1934,kaw⁵⁵fa⁵⁵ʦɿ,911,k a w ⁵⁵ f a ⁵⁵ ts ɿ,
114,1934-912,Guiyang,,"beggar",1934,1934,ʨjao²¹³xwa²¹³ʦɿ⁴²,912,tɕ j a o ²¹³ x w a ²¹³ ts ɿ ⁴²,
115,1934-914,Guiyang,,"beggar",1934,1934,jao²¹³fan²¹³lɛ⁵⁵,914,j a o ²¹³ f a n ²¹³ l ɛ ⁵⁵,
116,1934-919,Xiamen,,"beggar",1934,1934,kʰit³²ʦjaʔ⁵,919,kʰ i t ³² ts j a ʔ ⁵,
117,1934-913,Hefei,,"beggar",1934,1934,ʨjɔ⁵³xwa²¹ʦə,913,tɕ j ɔ ⁵³ x w a ²¹ ts ə,
118,1934-914,Jinan,,"beggar",1934,1934,jɔ²¹fã²¹ti,914,j ɔ ²¹ f ã ∼ ²¹ t i,
119,1934-913,Jinan,,"beggar",1934,1934,ʨjɔ²¹xwaʦɿ,913,tɕ j ɔ ²¹ x w a ⁰ ts ɿ,
120,1934-912,Hangzhou,,"beggar",1934,1934,ʨjɔ⁴⁴⁵hwɑ⁴⁴⁵ʦɿ⁵³,912,tɕ j ɔ ⁴⁴⁵ h w ɑ ⁴⁴⁵ ts ɿ ⁵³,
121,1934-918,Guangzhou,,"beggar",1934,1934,hɐt⁵ji²¹,918,h ɐ t ⁵ j i ²¹,
122,1934-921,Nanchang,,"beggar",1934,1934,kɑw⁴⁵fɑ⁰⁴ʦɿ⁰⁴,921,k ɑ w ⁴⁵ f ɑ ⁰⁴ ts ɿ ⁰⁴,
123,1934-913,Chengdu,,"beggar",1934,1934,ʨjaw¹³xwa⁵⁵ʦɿ⁵³,913,tɕ j a u ¹³ x w a ⁵⁵ ts ɿ ⁵³,
124,1934-914,Chengdu,,"beggar",1934,1934,jaw¹³fan¹³ni⁵⁵,914,j a u ¹³ f a n ¹³ n i ⁵⁵,
125,1934-923,Chengdu,,"beggar",1934,1934,tʰaw⁵³kʰəw⁵³ʦɿ⁵³,923,tʰ a w ⁵³ kʰ ə w ⁵³ ts ɿ ⁵³,
126,1934-924,Taoyuan,,"beggar",1934,1934,tʰaw⁵³ʦʰəʔ²ʦʰəʔ²,924,tʰ a w ⁵³ tsʰ ə ʔ ² tsʰ ə ʔ ²,
127,1934-914,Taoyuan,,"beggar",1934,1934,jaw⁴⁵fæ̃⁴⁵təʔ,914,j a w ⁴⁵ f æ̃ ∼ ⁴⁵ t ə ʔ,
128,1934-913,Taoyuan,,"beggar",1934,1934,ʨjaw⁴⁵xwa¹¹ʦəʔ,913,tɕ j a w ⁴⁵ x w a ¹¹ ts ə ʔ,
129,1934-922,Shexian,,"beggar",1934,1934,tʰɔ³⁵fɛ²²ɛ,922,tʰ ɔ ³⁵ f ɛ ²² ɛ,
130,1934-914,Beijing,,"beggar",1934,1934,jɑwiɑu⁵¹fan⁵¹tə¹,914,j ɑ u ⁵¹ f a n ⁵¹ t ə ¹,
131,1934-913,Beijing,,"beggar",1934,1934,ʨjɑwiɑu⁵¹xwa⁵⁵ʦɿ²,913,tɕ j ɑ u ⁵¹ x w a ⁵⁵ ts ɿ ²,
132,1934-920,Kunming,,"beggar",1934,1934,xwᴀ⁴⁴ʦɿ⁵³,920,x w a ⁴⁴ ts ɿ ⁵³,
133,1934-915,Kunming,,"beggar",1934,1934,jɔ²¹²fᴀ̃²¹²nə⁴⁴,915,j ɔ ²¹² f ã ∼ ²¹² n ə ⁴⁴,
134,1934-912,Shanghai,,"beggar",1934,1934,kɔ³⁵ho³⁵ʦɿ³⁵,912,k ɔ ³⁵ h o ³⁵ ts ɿ ³⁵,
135,175-944,Meixian,,"blow",175,175,hi³¹fuŋ⁴⁴,944,h i ³¹ f u ŋ ⁴⁴,
136,175-944,Changsha,,"blow",175,175,ʨʰi⁴¹xoŋ³³,944,tɕʰ i ⁴¹ x o ŋ ³³,
137,175-961,Changsha,,"blow",175,175,fa²⁴xoŋ³³,961,f a ²⁴ x o ŋ ³³,
138,175-966,Guiyang,,"blow",175,175,ʦʰwej⁵⁵foŋ⁵⁵,966,tsʰ w e j ⁵⁵ f o ŋ ⁵⁵,
139,175-944,Xiamen,,"blow",175,175,kʰi⁵³hɔŋ⁵⁵,944,kʰ i ⁵³ h ɔ ŋ ⁵⁵,
140,175-944,Hefei,,"blow",175,175,ʦʰɿ²⁴fəŋ²¹,944,tsʰ ɿ ²⁴ f ə ŋ ²¹,
141,175-976,Jinan,,"blow",175,175,kwa²¹³fəŋ²¹³,976,k w a ²¹³ f ə ŋ ²¹³,
142,175-944,Hangzhou,,"blow",175,175,ʨʰi⁵³foŋ³³,944,tɕʰ i ⁵³ f o ŋ ³³,
143,175-976,Hangzhou,,"blow",175,175,kwɑʔ⁵foŋ³³,976,k w ɑ ʔ ⁵ f o ŋ ³³,
144,175-1000,Guangzhou,,"blow",175,175,fan⁵³foŋ⁵³,1000,f a n ⁵³ f o ŋ ⁵³,
145,175-1012,Guangzhou,,"blow",175,175,ta³⁵foŋ⁵³,1012,t a ³⁵ f o ŋ ⁵³,
146,175-944,Nanchang,,"blow",175,175,ʨʰi²¹³fuŋ⁴²,944,tɕʰ i ²¹³ f u ŋ ⁴²,
147,175-976,Chengdu,,"blow",175,175,kwa³¹foŋ⁵⁵,976,k w a ³¹ f o ŋ ⁵⁵,
148,175-944,Chengdu,,"blow",175,175,ʨʰi⁵³foŋ⁵⁵,944,tɕʰ i ⁵³ f o ŋ ⁵⁵,
149,175-966,Chengdu,,"blow",175,175,ʦʰwej⁵⁵foŋ⁵⁵,966,tsʰ w e j ⁵⁵ f o ŋ ⁵⁵,
150,175-976,Taoyuan,,"blow",175,175,kwaʔ²fəŋ¹¹,976,k w a ʔ ² f ə ŋ ¹¹,
151,175-944,Shexian,,"blow",175,175,ʨʰi³⁵fʌ̃³¹,944,tɕʰ i ³⁵ f ʌ̃ ∼ ³¹,
152,175-961,Shexian,,"blow",175,175,fa²¹fʌ̃³¹,961,f a ²¹ f ʌ̃ ∼ ³¹,
153,175-976,Beijing,,"blow",175,175,kwa⁵⁵fəŋ⁵⁵,976,k w a ⁵⁵ f ə ŋ ⁵⁵,
154,175-976,Kunming,,"blow",175,175,kwᴀ³¹foŋ⁴⁴,976,k w a ³¹ f o ŋ ⁴⁴,
155,175-944,Kunming,,"blow",175,175,ʨʰi⁵³foŋ⁴⁴,944,tɕʰ i ⁵³ f o ŋ ⁴⁴,
156,175-944,Shanghai,,"blow",175,175,ʨʰi³⁵foŋ⁵³,944,tɕʰ i ³⁵ f o ŋ ⁵³,
157,175-976,Shanghai,,"blow",175,175,kwaʔ⁵foŋ⁵³,976,k w a ʔ ⁵ f o ŋ ⁵³,
158,1366-824,Meixian,,"boy",1366,1366,se⁵³a⁴⁴ko⁴⁴e,824,s e ⁵³ a ⁴⁴ k o ⁴⁴ e,
159,1366-826,Changsha,,"boy",1366,1366,ŋa¹³ʦɿ,826,ŋ a ¹³ ts ɿ,
160,1366-829,Guiyang,,"boy",1366,1366,lan²¹wa²¹wa⁵⁵,829,l a n ²¹ w a ²¹ w a ⁵⁵,
161,1366-837,Guiyang,,"boy",1366,1366,ɕjao⁴²lan²¹sen⁵⁵,837,ɕ j a o ⁴² l a n ²¹ s e n ⁵⁵,
162,1366-843,Xiamen,,"boy",1366,1366,ta²²pɔ⁵⁵kin⁵³na⁵³,843,t a ²² p ɔ ⁵⁵ k i n ⁵³ n a ⁵³,
163,1366-839,Hefei,,"boy",1366,1366,ɕjɔ²⁴sɿ,839,ɕ j ɔ ²⁴ s ɿ,
164,1366-835,Jinan,,"boy",1366,1366,ɕjɔ⁵⁵ʦɿ,835,ɕ j ɔ ⁵⁵ ts ɿ,
165,1366-838,Jinan,,"boy",1366,1366,ɕjɔ⁵⁵ɕjɔr⁵⁵,838,ɕ j ɔ ⁵⁵ ɕ j ɔ r ⁵⁵,
166,1366-827,Hangzhou,,"boy",1366,1366,nᴇ̃²¹³ɦjɑ²¹³əl²¹³,827,n ɛ̃ ∼ ²¹³ ɦ j ɑ ²¹³ ə l ²¹³,
167,1366-831,Guangzhou,,"boy",1366,1366,nam²¹ʦɐj³⁵,831,n a m ²¹ ts ɐ j ³⁵,
168,1366-832,Nanchang,,"boy",1366,1366,lan⁴⁵ʦaj⁰⁴ʦɿ⁰⁴,832,l a n ⁴⁵ ts a j ⁰⁴ ts ɿ ⁰⁴,
169,1366-844,Nanchang,,"boy",1366,1366,ʦaj²¹³liʔ⁰⁴ʦɿ⁰⁴,844,ts a j ²¹³ l i ʔ ⁰⁴ ts ɿ ⁰⁴,
170,1366-828,Chengdu,,"boy",1366,1366,nan³¹wa³¹ʦɿ⁵³,828,n a n ³¹ w a ³¹ ts ɿ ⁵³,
171,1366-829,Taoyuan,,"boy",1366,1366,næ̃¹¹va¹¹va¹¹,829,n æ̃ ∼ ¹¹ v a ¹¹ v a ¹¹,
172,1366-836,Taoyuan,,"boy",1366,1366,ɕjaw⁵³ʦəʔʨja¹¹,836,ɕ j a w ⁵³ ts ə ʔ ⁰ tɕ j a ¹¹,
173,1366-841,Taoyuan,,"boy",1366,1366,ɕjaw⁵³xəw⁴⁵səŋ¹¹,841,ɕ j a w ⁵³ x ə w ⁴⁵ s ə ŋ ¹¹,
174,1366-840,Shexian,,"boy",1366,1366,sjɔ³⁵ka,840,s j ɔ ³⁵ k a,
175,1366-834,Shexian,,"boy",1366,1366,sjɔ,834,s j ɔ,
176,1366-842,Shexian,,"boy",1366,1366,sjɔ³⁵kwe³⁵ti³²⁴,842,s j ɔ ³⁵ k w e ³⁵ t i ³²⁴,
177,1366-833,Beijing,,"boy",1366,1366,nan³⁵xar,833,n a n ³⁵ x a r,
178,1366-835,Beijing,,"boy",1366,1366,ɕjɑwiɑu²¹⁴ʦɿ⁴,835,ɕ j ɑ w ²¹⁴ ts ɿ ⁴,
179,1366-829,Kunming,,"boy",1366,1366,nᴀ̃³¹wᴀ³¹wᴀ³¹,829,n ã ∼ ³¹ w a ³¹ w a ³¹,
180,1366-845,Kunming,,"boy",1366,1366,xo⁵³ʦɿ⁴⁴,845,x o ⁵³ ts ɿ ⁴⁴,
181,1366-825,Kunming,,"boy",1366,1366,ə³¹ʦɿ⁵³,825,ə ³¹ ts ɿ ⁵³,
182,1366-830,Shanghai,,"boy",1366,1366,nø¹³ɕjɔ³⁵nø¹³,830,n ø ¹³ ɕ j ɔ ³⁵ n ø ¹³,
183,1322-725,Meixian,,"breakfast",1322,1322,sət⁵ʦaw⁴⁴,725,s ə t ⁵ ts a w ⁴⁴,
184,1322-727,Changsha,,"breakfast",1322,1322,ʦaw⁴¹fan¹¹,727,ts a w ⁴¹ f a n ¹¹,
185,1322-733,Guiyang,,"breakfast",1322,1322,ko²¹³ʦa⁴²,733,k o ²¹³ ts a ⁴²,
186,1322-728,Guiyang,,"breakfast",1322,1322,ʦa⁴²ʦʰan⁵⁵,728,ts a ⁴² tsʰ a n ⁵⁵,
187,1322-727,Guiyang,,"breakfast",1322,1322,ʦa⁴²fan²¹³,727,ts a ⁴² f a n ²¹³,
188,1322-729,Xiamen,,"breakfast",1322,1322,ʦa⁵³kʰi⁵³tŋ̍,729,ts a ⁵³ kʰ i ⁵³ t ŋ̍,
189,1322-728,Xiamen,,"breakfast",1322,1322,ʦa⁵³ʦʰan⁵⁵,728,ts a ⁵³ tsʰ a n ⁵⁵,
190,1322-727,Hefei,,"breakfast",1322,1322,ʦɔ²⁴fæ̃⁵³,727,ts ɔ ²⁴ f æ̃ ∼ ⁵³,
191,1322-727,Jinan,,"breakfast",1322,1322,ʦɔ⁵⁵fã²¹,727,ts ɔ ⁵⁵ f ã ∼ ²¹,
192,1322-730,Jinan,,"breakfast",1322,1322,ʦɔ⁵⁵tjã⁵⁵,730,ts ɔ ⁵⁵ t j ã ∼ ⁵⁵,
193,1322-727,Hangzhou,,"breakfast",1322,1322,ʦɔ⁵³vᴇ̃¹³,727,ts ɔ ⁵³ v ɛ̃ ∼ ¹³,
194,1322-728,Guangzhou,,"breakfast",1322,1322,ʦow³⁵ʦʰan⁵⁵,728,ts o w ³⁵ tsʰ a n ⁵⁵,
195,1322-727,Nanchang,,"breakfast",1322,1322,ʦɑw²¹³fan²¹,727,ts ɑ w ²¹³ f a n ²¹,
196,1322-727,Chengdu,,"breakfast",1322,1322,ʦaw⁵³fan¹³,727,ts a w ⁵³ f a n ¹³,
197,1322-731,Taoyuan,,"breakfast",1322,1322,ʦaw⁵³ʨʰjəŋ¹¹fæ̃⁴⁵,731,ts a w ⁵³ tɕʰ j ə ŋ ¹¹ f æ̃ ∼ ⁴⁵,
198,1322-727,Shexian,,"breakfast",1322,1322,ʦɔ³⁵fɛ,727,ts ɔ ³⁵ f ɛ,
199,1322-734,Shexian,,"breakfast",1322,1322,ʨʰi²¹ʦuʔ²¹,734,tɕʰ i ²¹ ts u ʔ ²¹,
200,1322-732,Beijing,,"breakfast",1322,1322,ʦɑw²¹⁴ʂɑŋ⁴fan,732,ts ɑ w ²¹⁴ ʂ ɑ ŋ ⁴ f a n,
201,1322-730,Beijing,,"breakfast",1322,1322,ʦɑw²¹⁴tjan²¹⁴,730,ts ɑ w ²¹⁴ t j a n ²¹⁴,
202,1322-730,Kunming,,"breakfast",1322,1322,ʦɔ⁵³tjɛ̃⁵³,730,ts ɔ ⁵³ t j ɛ̃ ∼ ⁵³,
203,1322-727,Shanghai,,"breakfast",1322,1322,ʦɔ³⁵ve¹³,727,ts ɔ ³⁵ v e ¹³,
204,774-274,Meixian,,"cabbage",774,774,paw⁴⁴ʦʰoj⁵³,274,p a w ⁴⁴ tsʰ o j ⁵³,
205,774-274,Changsha,,"cabbage",774,774,paw³³ʦʰaj⁵⁵,274,p a w ³³ tsʰ a j ⁵⁵,
206,774-296,Guiyang,,"cabbage",774,774,ko⁴²ɕin⁵⁵pɛ²¹,296,k o ⁴² ɕ i n ⁵⁵ p ɛ ²¹,
207,774-328,Xiamen,,"cabbage",774,774,ko⁵⁵le³⁵ʦʰaj²¹,328,k o ⁵⁵ l e ³⁵ tsʰ a j ²¹,
208,774-276,Hefei,,"cabbage",774,774,pu²¹tʰɯ⁵⁵ʦʰᴇ⁵³,276,p u ²¹ tʰ ɯ ⁵⁵ tsʰ ɛ ⁵³,
